Name,BrandScore,Price
Gigabyte Z590 Gaming X,Gigabyte,55,185
Gigabyte B760M D3H,Gigabyte,56,185
MSI B450-A Pro Max,MSI,47,185
ASRock B550 PG Riptide,ASRock,62,184
ASRock B550 Steel Legend,ASRock,62,184
Gigabyte B850M DS3H,Gigabyte,61,182
ASRock B850M Pro RS,ASRock,62,182
Asus TUF Gaming A620M-Plus WiFi,Asus,70,181
MSI Pro B760M-A WiFi,MSI,66,181
Gigabyte B860M DS3H,Gigabyte,57,180
ASRock B660M Phantom Gaming 4,ASRock,50,180
Asus Prime B760M-A D4,Asus,51,179
Gigabyte B760 DS3H AC,Gigabyte,66,179
MSI MAG B660M Bazooka DDR4,MSI,44,179
Asus TUF Gaming B550-Pro,Asus,61,178
MSI B450 Tomahawk Max II,MSI,60,178
Asus TUF Gaming B760M-E D4,Asus,45,178
MSI B760 Gaming Plus WiFi,MSI,69,178
Asus TUF Gaming B450-Plus II,Asus,61,177
Asus TUF Gaming B760M-Plus D4,Asus,53,176
Gigabyte B660M Gaming DDR4,Gigabyte,50,176
ASRock B760 Pro RS,ASRock,55,175
MSI B650M Gaming Plus WiFi,MSI,67,174
ASRock B650M Pro RS,ASRock,60,174
MSI MAG B550M Bazooka,MSI,44,174
Gigabyte B660 DS3H DDR4,Gigabyte,58,174
MSI B760M Gaming Plus WiFi,MSI,64,174
Asus Prime B760-Plus,Asus,56,173
ASRock B760M Pro RS,ASRock,54,172
Asus ROG Strix B550-A Gaming,Asus,62,172
Gigabyte B860M D3HP,Gigabyte,57,172
ASRock B660M Steel Legend,ASRock,53,171
ASRock B760M PG Sonic WiFi,ASRock,64,171
Gigabyte B850M D3HP,Gigabyte,61,171
MSI Pro B760-P II,MSI,60,171
Gigabyte B650M DS3H,Gigabyte,57,171
Gigabyte H610M S2H DDR4,Gigabyte,35,170
Gigabyte H610I DDR4,Gigabyte,42,169
ASRock B760M-ITX/D4 WiFi,ASRock,53,168
Gigabyte B450M H,Gigabyte,38,168
Gigabyte B860M Eagle,Gigabyte,56,167
Biostar B660MX-E,Biostar,34,167
ASRock B850M Pro-A,ASRock,59,167
Asus TUF Gaming B550M-Plus,Asus,56,167
Gigabyte B650 Eagle,Gigabyte,59,167
MSI Pro B660M-A DDR4,MSI,46,166
Asus Prime B660M-K D4,Asus,41,166
Gigabyte B450M Gaming,Gigabyte,42,165
MSI Pro B760-P WiFi DDR4,MSI,64,164
ASRock H670 PG Riptide,ASRock,57,164
Gigabyte B760M DS3H AX DDR4,Gigabyte,59,164
ASRock B660M-ITX/AC,ASRock,47,163
Gigabyte B760 Gaming X DDR4,Gigabyte,47,162
Gigabyte B760M DS3H AX,Gigabyte,63,162
MSI Pro B760-P DDR4 II,MSI,54,162
ASRock B760M PG Riptide,ASRock,52,161
ASRock B760 Pro RS/D4,ASRock,52,161
Gigabyte B760 DS3H DDR4,Gigabyte,49,160
ASRock B760M PG Lightning,ASRock,54,160
MSI Pro B760M-G DDR4,MSI,44,160
Asus TUF A520M-Plus Gaming,Asus,49,160
Gigabyte B450 Aorus Elite,Gigabyte,51,159
Gigabyte B650M C,Gigabyte,62,159
Gigabyte B660M DS3H DDR4,Gigabyte,53,158
Asus TUF Gaming B550-Plus,Asus,57,158
Gigabyte B760M Gaming X DDR4,Gigabyte,44,157
Asus H110M-K,Asus,38,157
Asus Prime B550-Plus,Asus,58,156
Asus Prime A620-Plus WiFi6,Asus,71,155
Gigabyte B650M S2H,Gigabyte,51,155
Biostar B760MZ-E Pro,Biostar,45,155
Asus Prime B550M-K,Asus,49,154
MSI Pro B550M-VC WiFi,MSI,59,154
Asus Prime B760M-K D4,Asus,41,154
ASRock B760M Pro RS/D4,ASRock,50,153
Biostar B760MX2-E Pro D4,Biostar,43,153
Gigabyte B650M D3HP,Gigabyte,56,153
ASRock B550 Pro4,ASRock,61,153
ASRock H670M Pro RS,ASRock,48,153
ASRock B650M-HDV/M.2,ASRock,54,152
Gigabyte B550 UD AC,Gigabyte,61,151
MSI MAG B550 Tomahawk,MSI,63,151
Asus Prime B650M-K,Asus,49,150
MSI Pro B550-P Gen3,MSI,47,150
Gigabyte B650M K,Gigabyte,52,150
MSI Pro B650M-P,MSI,55,149
MSI MPG B550 Gaming Plus,MSI,60,149
Biostar B760T-Silver,Biostar,44,148
Biostar B760MX-E D4,Biostar,36,145
Gigabyte GA-A320M-S2H,Gigabyte,37,144
MSI B550M Pro,MSI,43,144
ASRock B650M PG Lightning,ASRock,56,143
MSI Pro B760M-E DDR4,MSI,37,143
MSI B450 Gaming Plus Max,MSI,48,143
MSI MAG B560M Mortar,MSI,49,141
ASRock B850M-X,ASRock,55,141
Gigabyte B760M DS3H DDR4,Gigabyte,47,141
Gigabyte B450 Aorus M,Gigabyte,47,141
ASRock B450M Pro4,ASRock,49,141
MSI B450 Gaming Plus,MSI,49,141
Asus Prime B550M-A,Asus,51,140
ASRock B550M Steel Legend,ASRock,66,139
Gigabyte A520I AC,Gigabyte,56,139
Biostar H610MH,Biostar,29,139
Asus Prime B550M-A WiFi II,Asus,62,139
Gigabyte B660M Aorus Elite AX DDR4,Gigabyte,60,138
Gigabyte B550M H,Gigabyte,42,138
ASRock A620M Pro RS,ASRock,54,138
ASRock H410M-ITX/AC,ASRock,43,138
Gigabyte A620M Gaming X,Gigabyte,52,138
ASRock B450M Steel Legend,ASRock,54,138
ASRock B560 Pro4,ASRock,47,138
Gigabyte B550M DS3H AC,Gigabyte,57,137
ASRock B550M PG Riptide,ASRock,51,137
ASRock B550 Phantom Gaming 4,ASRock,55,137
ASRock B660 Pro RS,ASRock,57,136
MSI Pro A620M-C EX,MSI,55,135
ASRock B760M PG Lightning/D4,ASRock,50,133
Gigabyte B760M Gaming DDR4,Gigabyte,44,132
Biostar H610MX-E,Biostar,32,132
Asus Prime B760M-K,Asus,47,132
Gigabyte B550M Aorus Elite,Gigabyte,51,131
Gigabyte B450 Aorus Pro,Gigabyte,59,130
ASRock A520M-ITX/AC,ASRock,52,130
Asus Prime B760M-R D4,Asus,43,129
MSI Pro B760M-P,MSI,47,129
Gigabyte H610M H DDR4,Gigabyte,32,128
Gigabyte B760M C,Gigabyte,62,128
MSI B550M-A Pro,MSI,41,127
Biostar B550MXC Pro,Biostar,48,126
Gigabyte A520 Aorus Elite,Gigabyte,52,126
ASRock B450 Steel Legend,ASRock,56,126
Gigabyte A620M S2H,Gigabyte,47,125
Asus Prime H610M-K,Asus,35,125
MSI B550-A Pro,MSI,58,125
ASRock B760M-HDV/M.2,ASRock,52,123
Biostar B760MX2-E,Biostar,41,123
MSI Pro B550M-P Gen3,MSI,42,123
Asus Prime H610M-D D4,Asus,32,123
Gigabyte B550M DS3H,Gigabyte,51,123
MSI B550 Gaming Gen3,MSI,46,123
MSI Pro B660M-P DDR4,MSI,40,122
MSI B550M Pro-VDH,MSI,47,121
Gigabyte B560M DS3H,Gigabyte,45,120
MSI Pro B660M-G DDR4,MSI,41,120
ASRock B550M/AC,ASRock,55,120
ASRock B760M-HDV/M.2 D4,ASRock,47,119
Gigabyte A620M H,Gigabyte,47,119
ASRock B550M Pro4,ASRock,60,118
MSI Pro B650M-B,MSI,46,117
Gigabyte B760M H DDR4,Gigabyte,38,116
ASRock B550M Phantom Gaming 4,ASRock,51,114
ASRock B760M-H/M.2,ASRock,52,114
MSI B450M Pro-VDH Max,MSI,43,113
MSI Pro A620M-E,MSI,49,113
ASRock B660M Pro RS,ASRock,46,112
Biostar A520MH V6.1,Biostar,33,111
Asus TUF Gaming A520M-Plus II,Asus,46,110
Biostar B760MX2-E D4,Biostar,37,110
Biostar B550MX/E Pro,Biostar,43,110
Gigabyte B560M Gaming HD,Gigabyte,33,110
Asus Prime B450-Plus,Asus,55,110
MSI Pro H610M-G DDR4,MSI,34,110
Asus Prime H610M-K D4,Asus,29,109
MSI Pro B760M-P DDR4,MSI,47,108
Asus Prime A620M-K,Asus,44,108
Asus Prime H410M-K,Asus,30,108
Biostar B760MXC Pro 2.0,Biostar,45,106
Gigabyte B550M K,Gigabyte,45,104
ASRock B660M-HDV,ASRock,48,104
Gigabyte A520M DS3H,Gigabyte,49,103
Asus Prime B450M-K II,Asus,42,101
ASRock H510M-HDV/M.2,ASRock,37,100
MSI Pro H610M-B DDR4,MSI,31,100
ASRock B550M-HDV,ASRock,47,96
Asus Prime A520M-E,Asus,47,95
ASRock H610M-HVS,ASRock,29,95
Asus Prime H510M-A,Asus,39,94
ASRock H610M-HDV/M.2,ASRock,35,92
Gigabyte B360M HD3,Gigabyte,41,91
MSI A320M-A Pro Max,MSI,36,91
Asus Prime B450M-A II,Asus,48,90
Gigabyte H610M K DDR4,Gigabyte,36,89
