CPU Name,BrandBenchmark Score,Price
AMD Ryzen 9 6900HS,AMD,6904,n/a
AMD Ryzen 5 7600X,AMD,6894,n/a
AMD Ryzen 7 7735HS,AMD,6890,n/a
AMD Ryzen 7 5700X,AMD,6885,n/a
Intel Core i7-10700 Processor,Intel,6846,$323
AMD Ryzen 9 6900HX,AMD,6765,n/a
AMD Ryzen 7 5700X3D,AMD,6758,n/a
Intel Core i7-10700F Processor,Intel,6728,$299
AMD Ryzen 7 5700G,AMD,6645,n/a
AMD Ryzen 7 5700,AMD,6627,n/a
AMD Ryzen 7 6800H,AMD,6559,n/a
AMD Ryzen 5 7600,AMD,6550,n/a
Intel Core i7-11800H,Intel,6535,n/a
AMD Ryzen 9 5900HX,AMD,6505,n/a
Intel Core Ultra 7 processor 155H,Intel,6503,n/a
AMD Ryzen 5 7500F,AMD,6416,n/a
AMD Ryzen 7 6800HS,AMD,6406,n/a
AMD Ryzen 7 3800XT,AMD,6314,$399
Intel Core i5-11600K Processor,Intel,6295,$262
Intel Core i5-11600KF Processor,Intel,6255,$237
Intel Core i5-13500H Processor,Intel,6207,n/a
AMD Ryzen 5 8600G,AMD,6182,n/a
AMD Ryzen 7 5800H,AMD,6147,n/a
AMD Ryzen Z1 Extreme,AMD,6140,n/a
Intel Core Ultra 5 processor 125H,Intel,6091,n/a
AMD Ryzen 9 5900HS,AMD,6087,n/a
Intel Core i5-12500H Processor,Intel,6067,n/a
Intel Core i9-11900H,Intel,6056,n/a
Intel Core i5-12500 Processor,Intel,6030,$209
Intel Core i5-12490F Processor,Intel,5937,n/a
AMD Ryzen 5 7600X3D,AMD,5937,n/a
Intel Core i5-12400F Processor,Intel,5915,$169
Intel Core i5-12400 Processor,Intel,5897,$199
AMD Ryzen 7 4800H,AMD,5849,n/a
AMD Ryzen 7 6800U,AMD,5837,n/a
AMD Ryzen 5 5600X3D,AMD,5712,n/a
AMD Ryzen 5 5600,AMD,5675,n/a
Intel Core i5-11400F Processor,Intel,5666,$157
Intel Core i5-11400 Processor,Intel,5649,$182
AMD Ryzen 5 5600X,AMD,5608,$299
AMD Ryzen 5 5600GT,AMD,5568,n/a
AMD Ryzen 7 8840U,AMD,5560,n/a
AMD Ryzen 5 5600G,AMD,5482,$259
AMD Ryzen 7 7840U,AMD,5476,n/a
AMD Ryzen 5 5500,AMD,5422,n/a
Intel Core i5-10600KF Processor,Intel,5373,$237
Intel Core i5-10600K Processor,Intel,5366,$262
Intel Core i5-11400H,Intel,5241,n/a
Intel Core i7-10870H Processor,Intel,5196,n/a
Intel Core i5-12450H Processor,Intel,5123,n/a
Intel Core i7-10875H,Intel,5044,$450
AMD Ryzen 5 5600H,AMD,4903,n/a
AMD Ryzen 5 4600G,AMD,4871,n/a
Intel Xeon Processor E5-2666 v3,Intel,4823,n/a
AMD Ryzen 5 4500,AMD,4822,n/a
AMD Ryzen 5 3600XT,AMD,4815,$249
Intel Core i5-10400F Processor,Intel,4742,$155
Intel Core i7-1260P Processor,Intel,4732,n/a
Intel Core i5-10400 Processor,Intel,4726,$182
AMD Ryzen 5 3600,AMD,4614,$199
AMD Ryzen 7 5700U,AMD,4445,n/a
AMD Ryzen 5 4600H,AMD,4400,n/a
Intel Core i7-1360P Processor,Intel,4299,n/a
Intel Core i7-10750H,Intel,4200,$395
Intel Core i3-12100F Processor,Intel,4024,$99
Intel Core i3-12100 Processor,Intel,3999,n/a
AMD Ryzen 5 3500X,AMD,3820,n/a
AMD Ryzen 5 5500U,AMD,3761,n/a
Intel Core i7-11370H,Intel,3571,n/a
Intel Core i5-1235U Processor,Intel,3357,n/a
Intel Core i3-10105F Processor,Intel,3256,$97
Intel Core i3-10100F Processor,Intel,3176,$97
Intel Core i3-10100 Processor,Intel,3173,n/a
AMD Ryzen 3 3100,AMD,2987,$99
Intel Core i5-10300H,Intel,2887,n/a
Intel Core i5-1135G7 Processor,Intel,2757,n/a
Intel Core i7-1165G7 Processor,Intel,2718,n/a
AMD Ryzen 5 3400G,AMD,2388,$149
Intel Core i7-1065G7 Processor,Intel,2164,$426
Intel Processor N100,Intel,1262,n/a
